# Climate 323: Final Project
#This file contains a list of all of the geomagnetic storms identified from the DST dataset used for our Climate 323 final project (the dataset will be cited with our project materials). 

# The columns of the data are as follows:
# Times: The times for each storm identified. These correspond to the time at which the minimum occurred.
# Minimums: The minimum DST value reached during the storm, in units of nT.
# Classes: The 'class' of the storm, divided into three categories based on intensity, and defined by minimum DST values below the criteria outlined here:
#  Palacios et. al. (2018), https://doi.org/10.5194/nhess-2018-92 
# 'Thresholds for geomagnetic storms can be chosen by common values of SYM-H and Dst, as –75 nT for moderate storms; –150 nT for intense storms, and –330 nT for extreme storms.'

Times                  Minimums (nT)  Classes
-------------------  ---------------  ---------
2003-03-30 22:30:00              -76  moderate
2003-03-31 15:30:00              -78  moderate
2003-05-01 00:30:00              -78  moderate
2003-05-10 08:30:00              -84  moderate
2003-05-29 23:30:00             -144  moderate
2003-05-30 14:30:00              -81  moderate
2003-06-02 08:30:00              -91  moderate
2003-06-17 08:30:00              -81  moderate
2003-06-18 09:30:00             -141  moderate
2003-06-18 21:30:00              -79  moderate
2003-07-12 01:30:00              -77  moderate
2003-07-12 05:30:00             -105  moderate
2003-07-16 13:30:00              -90  moderate
2003-08-18 15:30:00             -148  moderate
2003-10-14 22:30:00              -85  moderate
2003-10-15 06:30:00              -77  moderate
2003-10-30 22:30:00             -383  extreme
2003-10-31 14:30:00              -88  moderate
2003-11-20 20:30:00             -422  extreme
2003-11-22 02:30:00              -79  moderate
2003-11-22 22:30:00              -87  moderate
2004-01-22 13:30:00             -130  moderate
2004-01-22 21:30:00              -80  moderate
2004-01-23 00:30:00              -78  moderate
2004-01-23 16:30:00              -78  moderate
2004-01-25 03:30:00              -81  moderate
2004-01-25 07:30:00              -79  moderate
2004-02-11 17:30:00              -93  moderate
2004-03-10 05:30:00              -78  moderate
2004-04-03 19:30:00              -80  moderate
2004-04-04 00:30:00             -117  moderate
2004-07-17 02:30:00              -76  moderate
2004-07-23 02:30:00              -99  moderate
2004-07-25 16:30:00             -136  moderate
2004-07-27 02:30:00             -102  moderate
2004-07-27 13:30:00             -170  intense
2004-08-30 22:30:00             -129  moderate
2004-08-31 08:30:00              -81  moderate
2004-11-08 06:30:00             -374  extreme
2004-11-10 10:30:00             -263  intense
2004-11-12 03:30:00              -82  moderate
2004-11-12 10:30:00              -92  moderate
2004-11-12 20:30:00              -81  moderate
2005-01-08 02:30:00              -93  moderate
2005-01-18 08:30:00             -103  moderate
2005-01-18 14:30:00              -76  moderate
2005-01-19 10:30:00              -80  moderate
2005-01-19 14:30:00              -80  moderate
2005-01-22 05:30:00              -97  moderate
2005-02-18 02:30:00              -80  moderate
2005-05-08 02:30:00              -82  moderate
2005-05-08 18:30:00             -110  moderate
2005-05-15 08:30:00             -247  intense
2005-05-16 21:30:00              -77  moderate
2005-05-17 05:30:00              -80  moderate
2005-05-20 08:30:00              -83  moderate
2005-05-30 13:30:00             -113  moderate
2005-05-31 02:30:00              -78  moderate
2005-06-13 00:30:00             -106  moderate
2005-06-23 10:30:00              -85  moderate
2005-07-10 20:30:00              -92  moderate
2005-07-12 05:30:00              -78  moderate
2005-08-24 11:30:00             -184  intense
2005-08-31 19:30:00             -122  moderate
2005-09-11 10:30:00             -139  moderate
2005-09-12 10:30:00              -77  moderate
2005-09-12 21:30:00              -89  moderate
2005-09-13 00:30:00              -88  moderate
2005-09-13 04:30:00              -81  moderate
2005-09-13 12:30:00              -86  moderate
2005-09-15 16:30:00              -80  moderate
2005-09-15 22:30:00              -76  moderate
2006-04-05 15:30:00              -79  moderate
2006-04-09 07:30:00              -82  moderate
2006-04-14 09:30:00              -98  moderate
2006-04-14 16:30:00              -81  moderate
2006-08-19 21:30:00              -78  moderate
2006-08-20 01:30:00              -79  moderate
2006-12-15 07:30:00             -162  intense
2006-12-15 23:30:00              -79  moderate
2008-03-09 05:30:00              -86  moderate
2009-07-22 06:30:00              -83  moderate
2009-07-22 09:30:00              -81  moderate
2010-04-06 07:30:00              -76  moderate
2010-04-06 14:30:00              -81  moderate
2010-05-29 12:30:00              -80  moderate
2011-03-01 14:30:00              -88  moderate
2011-03-11 05:30:00              -83  moderate
2011-05-28 11:30:00              -80  moderate
2011-05-28 14:30:00              -80  moderate
2011-08-06 03:30:00             -115  moderate
2011-09-26 23:30:00             -118  moderate
2011-09-27 03:30:00              -79  moderate
2011-09-27 08:30:00              -77  moderate
2011-10-25 01:30:00             -147  moderate
2012-03-07 09:30:00              -88  moderate
2012-03-07 15:30:00              -85  moderate
2012-03-09 08:30:00             -145  moderate
2012-03-10 06:30:00              -80  moderate
2012-03-15 20:30:00              -88  moderate
2012-04-24 04:30:00             -120  moderate
2012-06-17 13:30:00              -86  moderate
2012-07-09 12:30:00              -78  moderate
2012-07-09 22:30:00              -78  moderate
2012-07-15 16:30:00             -139  moderate
2012-07-17 06:30:00              -80  moderate
2012-10-01 04:30:00             -122  moderate
2012-10-08 12:30:00              -99  moderate
2012-10-09 08:30:00             -109  moderate
2012-10-13 07:30:00              -90  moderate
2012-11-14 07:30:00             -108  moderate
2013-03-17 20:30:00             -132  moderate
2013-06-01 08:30:00             -124  moderate
2013-06-07 02:30:00              -78  moderate
2013-06-07 05:30:00              -78  moderate
2013-06-29 06:30:00             -102  moderate
2013-07-06 18:30:00              -87  moderate
2013-07-14 22:30:00              -81  moderate
2013-11-09 08:30:00              -80  moderate
2014-02-19 08:30:00             -119  moderate
2014-02-20 06:30:00              -80  moderate
2014-02-20 12:30:00              -95  moderate
2014-02-27 23:30:00              -97  moderate
2014-04-12 09:30:00              -87  moderate
2014-08-27 18:30:00              -79  moderate
2014-09-12 23:30:00              -88  moderate
2015-01-04 21:30:00              -78  moderate
2015-01-07 11:30:00             -107  moderate
2015-03-17 09:30:00              -83  moderate
2015-03-17 22:30:00             -234  intense
2015-03-19 09:30:00              -76  moderate
2015-03-19 14:30:00              -84  moderate
2015-03-20 01:30:00              -81  moderate
2015-04-11 09:30:00              -85  moderate
2015-04-16 07:30:00              -81  moderate
2015-04-16 23:30:00              -88  moderate
2015-05-13 06:30:00              -82  moderate
2015-06-23 04:30:00             -198  intense
2015-06-25 16:30:00              -81  moderate
2015-08-16 07:30:00              -98  moderate
2015-08-26 21:30:00              -79  moderate
2015-08-27 05:30:00              -92  moderate
2015-08-27 20:30:00             -103  moderate
2015-08-28 09:30:00             -102  moderate
2015-08-28 18:30:00              -88  moderate
2015-09-09 12:30:00             -105  moderate
2015-09-11 14:30:00              -87  moderate
2015-09-20 11:30:00              -79  moderate
2015-09-20 15:30:00              -81  moderate
2015-10-07 09:30:00             -101  moderate
2015-10-07 22:30:00             -130  moderate
2015-10-08 05:30:00              -80  moderate
2015-11-07 06:30:00              -87  moderate
2015-11-07 09:30:00              -80  moderate
2015-11-07 12:30:00              -76  moderate
2015-12-20 09:30:00              -82  moderate
2015-12-20 22:30:00             -166  intense
2016-01-01 00:30:00             -116  moderate
2016-01-20 16:30:00             -101  moderate
2016-03-06 21:30:00              -99  moderate
2016-03-07 04:30:00              -76  moderate
2016-05-08 07:30:00              -95  moderate
2016-05-08 16:30:00              -78  moderate
2016-05-08 20:30:00              -87  moderate
2016-05-09 00:30:00              -88  moderate
2016-10-13 17:30:00             -110  moderate
2017-05-28 07:30:00             -146  moderate
2017-09-08 01:30:00             -148  moderate
2017-09-08 15:30:00             -123  moderate
2017-09-28 08:30:00              -98  moderate
2017-11-08 04:30:00              -82  moderate
2018-04-20 09:30:00              -78  moderate
2018-08-26 07:30:00             -176  intense
2018-08-26 20:30:00              -81  moderate
2021-08-27 23:30:00              -82  moderate
2021-11-04 13:30:00             -105  moderate
2022-01-14 22:30:00              -91  moderate
2022-03-13 23:30:00              -85  moderate
2022-04-14 21:30:00              -81  moderate
2022-07-07 22:30:00              -81  moderate
2022-10-22 18:30:00              -76  moderate
2022-11-07 17:30:00              -92  moderate
2023-02-27 12:30:00             -132  moderate
2023-03-24 02:30:00             -163  intense
2023-04-24 05:30:00             -213  intense
2023-08-05 06:30:00              -93  moderate
2023-08-05 11:30:00              -78  moderate
2023-09-12 22:30:00              -82  moderate
2023-09-19 02:30:00              -85  moderate
2023-09-19 04:30:00              -81  moderate
2023-10-21 07:30:00              -88  moderate
2023-11-05 11:30:00              -83  moderate
2023-11-05 19:30:00             -163  intense
2023-11-25 19:30:00              -90  moderate
2023-12-01 13:30:00             -108  moderate
2023-12-02 01:30:00             -100  moderate
2023-12-14 09:30:00              -78  moderate
2023-12-17 16:30:00              -77  moderate
2024-03-03 19:30:00             -112  moderate
2024-03-23 21:30:00              -79  moderate
2024-03-24 20:30:00             -128  moderate
2024-04-19 19:30:00             -117  moderate
2024-05-02 19:30:00              -89  moderate
2024-05-11 02:30:00             -406  extreme
2024-05-12 22:30:00              -86  moderate
2024-05-13 04:30:00              -93  moderate
2024-05-16 10:30:00              -82  moderate
2024-05-17 23:30:00              -88  moderate
2024-06-28 07:30:00              -79  moderate
2024-06-28 12:30:00             -107  moderate
2024-08-04 17:30:00             -100  moderate
2024-08-12 16:30:00             -188  intense
2024-08-28 06:30:00              -76  moderate
2024-09-12 14:30:00             -121  moderate
2024-09-17 08:30:00             -121  moderate
2024-10-07 20:30:00              -96  moderate
2024-10-08 07:30:00             -148  moderate
2024-10-09 01:30:00              -77  moderate
2024-10-09 05:30:00              -83  moderate
2024-10-11 01:30:00             -333  extreme
2024-10-12 03:30:00              -77  moderate
